"EVAL_GRP","FORTYPCD","COUNTYCD","VOLCFNET"
11990,162,63,12899589.0207739
11990,406,63,14676828.9382246
11990,503,63,16144096.1722377
11990,600,63,3934817.4290139
11990,602,63,16706888.1534761
11990,141,65,2508047.4397731
11990,161,65,13436949.1292675
11990,404,65,9669542.36278416
11990,406,65,7800490.23432218
11990,500,65,488761.781439314
11990,503,65,17188383.0777425
11990,600,65,2648072.15238993
11990,602,65,7378490.65104656
11990,161,67,6120911.78051512
11990,162,67,8451269.53730037
11990,403,67,2800685.6797929
11990,406,67,13436045.3893746
11990,407,67,8113848.46681243
11990,503,67,25084983.4482292
11990,161,69,9551866.19181764
11990,407,69,3644249.0498069
11990,503,69,1438842.58768858
11990,600,69,14855875.9997619
11990,405,71,2647044.87865554
11990,500,71,245704.042581732
11990,503,71,56538663.2656355
11990,504,71,11925558.5377382
11990,508,71,1231871.77019429
11990,520,71,3701550.7340519
11990,163,73,6461988.76304926
11990,403,73,5137381.44367903
11990,405,73,5793233.44511188
11990,500,73,3326180.68594057
11990,503,73,5730604.05809756
11990,506,73,8859554.10750797
11990,508,73,1703149.0080384
11990,520,73,3061941.90535034
11990,161,75,18935616.3955315
11990,162,75,6781240.21562039
11990,404,75,3778950.13475575
11990,406,75,15522652.4136146
11990,503,75,16874445.9470974
11990,600,75,2316471.68610675
11990,608,75,1530736.39988685
11990,161,77,4370413.56292077
11990,405,77,3275007.37809601
11990,503,77,12527131.0118417
11990,161,79,3527505.06544678
11990,500,79,1303153.98158359
11990,503,79,1138122.29116082
11990,161,81,17600706.778692
11990,162,81,20556209.3877826
11990,406,81,12882178.958213
11990,503,81,7208533.86513078
11990,508,81,20611424.0437274
11990,406,83,13558102.0968083
11990,500,83,3854762.81689423
11990,503,83,33090651.8891705
11990,161,85,48953353.4357477
11990,406,85,19071752.085502
11990,500,85,1351961.7884608
11990,503,85,6380982.40360655
11990,141,87,735545.071117565
11990,142,87,1110513.40725008
11990,161,87,12796121.3921994
11990,162,87,2282616.26478685
11990,406,87,3155124.79663964
11990,503,87,24105511.8584666
11990,600,87,14270176.3952664
11990,601,87,8493230.83706195
11990,602,87,6629805.09643192
11990,161,91,9661120.66135946
11990,162,91,9129302.41947284
11990,171,91,1445057.01789944
11990,404,91,7593188.51310404
11990,406,91,2775171.9472701
11990,409,91,12740319.8569861
11990,503,91,4900259.10370058
11990,706,91,4009030.18640784
11990,161,93,18955463.8355399
11990,406,93,974435.177967936
11990,500,93,231417.582207612
11990,503,93,2122024.06708181
11990,504,93,5248737.70685413
11990,508,93,3936461.90728125
11990,161,95,13314200.3591669
11990,500,95,NA
11990,503,95,23123890.5627845
11990,141,97,45610626.617492
11990,142,97,19071180.9738763
11990,161,97,20938230.7311902
11990,403,97,16898149.1855807
11990,406,97,8903589.76390519
11990,407,97,2657852.4495254
11990,500,97,1104034.81443571
11990,503,97,8789817.37049413
11990,520,97,16684684.8137846
11990,607,97,669011.958462564
11990,608,97,1480595.59497888
11990,706,97,5178686.41021483
11990,141,99,14671463.2961005
11990,142,99,10916232.4617047
